Date,open,high,low,close,volume
2019-09-23,9154.900390625,9168.2998046875,9055.900390625,9093.599609375,161360300
2019-09-24,9116.099609375,9154.2001953125,9103.7998046875,9118.2001953125,139483100
2019-09-25,9087.2001953125,9119.2001953125,9000.900390625,9085.2998046875,148045500
2019-09-26,9064.599609375,9143.0,9061.400390625,9129.7001953125,132267400
2019-09-27,9149.7001953125,9210.5,9131.0,9184.099609375,127034300
2019-09-30,9194.7998046875,9257.2998046875,9189.599609375,9244.599609375,177878400
2019-10-01,9277.0,9298.7998046875,9165.099609375,9165.900390625,150847200
2019-10-02,9150.099609375,9157.099609375,8912.2001953125,8912.2001953125,193947900
2019-10-03,8935.7998046875,8971.400390625,8850.599609375,8902.2001953125,152587800
2019-10-04,8944.2001953125,8961.7998046875,8858.599609375,8961.7998046875,148747800
2019-10-07,8954.7001953125,9046.2998046875,8930.400390625,9044.099609375,131080300
2019-10-08,9066.5,9071.5,8900.7998046875,8940.099609375,140370600
2019-10-09,8952.7001953125,9035.599609375,8934.2001953125,8991.900390625,103638000
2019-10-10,8997.400390625,9112.2001953125,8970.2998046875,9104.400390625,156096600
2019-10-11,9112.900390625,9273.7998046875,9104.7998046875,9273.7998046875,248406500
2019-10-14,9229.2001953125,9247.599609375,9195.2001953125,9246.5,125125400
2019-10-15,9292.0,9370.2998046875,9278.2998046875,9356.099609375,191056900
2019-10-16,9346.5,9398.599609375,9288.2001953125,9386.7001953125,205491300
2019-10-17,9360.900390625,9494.5,9340.0,9340.0,195287100
2019-10-18,9310.2998046875,9362.2001953125,9307.599609375,9329.7998046875,150240700
2019-10-21,9350.2998046875,9424.2998046875,9342.099609375,9402.2998046875,167986800
2019-10-22,9393.2998046875,9417.400390625,9344.599609375,9380.2001953125,139500300
2019-10-23,9339.2998046875,9392.2998046875,9332.400390625,9385.0,146308800
2019-10-24,9413.5,9448.0,9378.599609375,9391.7998046875,157225400
2019-10-25,9409.900390625,9433.2998046875,9381.099609375,9430.2001953125,124881200
2019-10-28,9432.2998046875,9455.599609375,9394.599609375,9433.0,123721700
2019-10-29,9440.7001953125,9445.5,9362.2001953125,9400.099609375,155531300
2019-10-30,9384.5,9386.599609375,9219.7001953125,9284.5,192868000
2019-10-31,9296.2998046875,9305.2998046875,9208.900390625,9257.5,227115200
2019-11-01,9293.099609375,9343.099609375,9252.7998046875,9328.0,160721600
2019-11-04,9376.5,9439.0,9354.2998046875,9416.400390625,180099600
2019-11-05,9424.2001953125,9432.2998046875,9373.7998046875,9407.900390625,218124200
2019-11-06,9407.2998046875,9443.900390625,9360.900390625,9398.400390625,173974000
2019-11-07,9435.400390625,9482.5,9409.599609375,9447.2998046875,190107600
2019-11-08,9418.5,9436.099609375,9369.7001953125,9393.7001953125,182548400
2019-11-11,9370.2998046875,9400.400390625,9334.400390625,9388.5,153710200
2019-11-12,9427.7998046875,9436.7998046875,9306.7001953125,9306.7001953125,182145300
2019-11-13,9270.2001953125,9270.2001953125,9132.7998046875,9194.5,246050000
2019-11-14,9203.099609375,9216.900390625,9170.2998046875,9173.2998046875,154125900
2019-11-15,9222.099609375,9273.2998046875,9186.900390625,9261.400390625,161258700
2019-11-18,9265.099609375,9293.099609375,9213.0,9258.0,135267700
2019-11-19,9288.0,9327.5,9234.400390625,9259.2001953125,121796100
2019-11-20,9223.7001953125,9240.400390625,9165.400390625,9225.400390625,139899200
2019-11-21,9175.099609375,9223.099609375,9152.099609375,9214.0,142003800
2019-11-22,9238.5,9295.5,9229.7001953125,9254.7001953125,173881100
2019-11-25,9300.0,9340.2998046875,9292.2998046875,9319.900390625,128376200
2019-11-26,9323.599609375,9329.7001953125,9288.2001953125,9324.7998046875,214687000
2019-11-27,9353.5,9388.7001953125,9333.400390625,9362.7001953125,135045800
2019-11-28,9353.599609375,9373.099609375,9343.7998046875,9359.0,107163700
2019-11-29,9334.5,9404.5,9312.5,9352.0,140835600
2019-12-02,9367.2001953125,9390.900390625,9146.599609375,9156.2998046875,200666300
2019-12-03,9176.7998046875,9209.7998046875,9110.099609375,9135.7001953125,162636000
2019-12-04,9146.2001953125,9277.599609375,9144.7998046875,9270.7998046875,152240500
2019-12-05,9284.2998046875,9325.7998046875,9243.400390625,9243.400390625,120855300
2019-12-06,9267.2998046875,9395.400390625,9247.7001953125,9382.7001953125,125323400
2019-12-09,9378.2001953125,9403.5,9354.599609375,9354.599609375,106942600
2019-12-10,9355.599609375,9355.7001953125,9246.099609375,9321.099609375,136834300
2019-12-11,9315.400390625,9421.5,9300.2998046875,9392.5,145840600
2019-12-12,9416.2998046875,9505.599609375,9370.0,9468.5,213476500
2019-12-13,9598.2001953125,9650.900390625,9554.099609375,9563.7001953125,261410400
2019-12-16,9607.900390625,9692.400390625,9599.7001953125,9680.599609375,163326900
2019-12-17,9630.7001953125,9652.400390625,9608.099609375,9615.900390625,157680000
2019-12-18,9606.099609375,9659.2001953125,9606.099609375,9621.7998046875,156463700
2019-12-19,9622.599609375,9635.400390625,9567.400390625,9617.2001953125,165383700
2019-12-20,9620.400390625,9675.5,9605.7998046875,9675.5,366705600
2019-12-23,9650.2001953125,9670.900390625,9639.0,9659.599609375,119328700
2019-12-24,9632.099609375,9661.7998046875,9607.7998046875,9661.7998046875,35436200
2019-12-27,9673.0,9700.5,9657.5,9700.5,103106600
2019-12-30,9672.5,9682.099609375,9612.599609375,9612.599609375,95100900
2019-12-31,9564.900390625,9564.900390625,9518.5,9549.2001953125,62697500
2020-01-02,9639.099609375,9705.400390625,9615.099609375,9691.2001953125,142379600
2020-01-03,9631.2001953125,9650.7001953125,9581.2001953125,9646.599609375,135130000
2020-01-06,9585.400390625,9618.2001953125,9492.7001953125,9600.900390625,103520400
2020-01-07,9623.099609375,9657.900390625,9557.900390625,9579.7998046875,133476100
2020-01-08,9535.099609375,9604.2998046875,9520.2998046875,9591.400390625,133957600
2020-01-09,9629.2001953125,9644.7998046875,9573.7998046875,9581.7998046875,151793500
2020-01-10,9611.2998046875,9623.599609375,9557.900390625,9573.599609375,132894500
2020-01-13,9586.599609375,9586.599609375,9507.400390625,9543.900390625,124149000
2020-01-14,9548.099609375,9548.400390625,9466.0,9528.2998046875,143774600
2020-01-15,9521.2001953125,9530.2001953125,9475.0,9511.7001953125,161995000
2020-01-16,9516.7001953125,9579.5,9481.599609375,9572.5,133841500
2020-01-17,9616.099609375,9709.900390625,9611.2998046875,9681.2998046875,159823200
2020-01-20,9676.599609375,9680.900390625,9623.099609375,9658.7998046875,99959200
2020-01-21,9593.400390625,9620.7001953125,9550.0,9611.2998046875,126448800
