arm,long_thr,exit_thr,n_symbols,mean_sharpe,mean_return,median_sharpe,mean_dd,mean_n_trades
trend_long,65.0,45.0,6,-0.1788638497469913,-0.04328286683206698,-0.21791989121338187,-0.1056917374307359,43.666666666666664
trend_long,65.0,35.0,6,-0.18663605006804596,-0.04534344656532755,-0.20103681652869743,-0.10651605297103833,43.166666666666664
confidence_long,55.0,45.0,6,-0.1968948473796864,-0.06283430865729912,-0.10091580934128107,-0.13135648425490892,77.0
momentum_long,55.0,45.0,6,-0.23678002042016702,-0.08777791934078565,-0.21948944250926916,-0.15143936801693308,150.16666666666666
confidence_long,55.0,35.0,6,-0.2799207712606249,-0.08404840474314772,-0.20639583334871706,-0.14700866567278217,75.16666666666667
momentum_long,55.0,35.0,6,-0.31024919409162965,-0.116895720289613,-0.3503389038553968,-0.17502897573239262,132.66666666666666
momentum_long,65.0,55.0,6,-0.3236888221553507,-0.11256547245915212,-0.29816331184144945,-0.17103274661759924,151.66666666666666
vol_long_dir,65.0,55.0,6,-0.327622767019658,-0.09374493436340735,-0.29385144138168995,-0.15516293306650655,63.666666666666664
vol_long_dir,65.0,35.0,6,-0.3563287237286557,-0.10159443308799465,-0.31610434344472116,-0.16273612310661126,63.0
vol_long_dir,65.0,45.0,6,-0.3563287237286557,-0.10159443308799465,-0.31610434344472116,-0.16273612310661126,63.0
vol_long_dir,55.0,35.0,6,-0.3563287237286557,-0.10159443308799465,-0.31610434344472116,-0.16273612310661126,63.0
vol_long_dir,55.0,45.0,6,-0.3563287237286557,-0.10159443308799465,-0.31610434344472116,-0.16273612310661126,63.0
momentum_long,65.0,45.0,6,-0.4446703750855177,-0.15934652421381182,-0.42484111512455647,-0.20384283873364906,136.66666666666666
momentum_long,65.0,35.0,6,-0.5592227082958311,-0.20150720134166655,-0.5490591366171812,-0.24065706726720718,130.0
confidence_long,65.0,55.0,6,-0.6057505656293628,-0.18232550305883125,-0.6136037119689453,-0.21901868640677788,96.5
confidence_long,65.0,45.0,6,-0.6804761969807789,-0.20831153280851722,-0.7501974428406721,-0.2431035131789139,91.83333333333333
confidence_long,65.0,35.0,6,-0.7017653819859522,-0.21464404844563276,-0.7715730831051596,-0.24919070102534588,91.83333333333333
structure_long,55.0,35.0,6,-0.8330791435875717,-0.28099332082737655,-0.8997610965370947,-0.3039023142233397,111.0
structure_long,55.0,45.0,6,-0.8435300258280233,-0.2710233424226534,-0.8888678282748063,-0.2906662945455573,114.5
