symbol,arm,n_trades,total_return,cagr,sharpe,sortino,max_dd,max_dd_duration,win_rate,profit_factor,avg_trade_pnl,expectancy,pct_time_in_market,best_trade,worst_trade
FTSE250,trend_long,36,-0.016127528839004146,-0.0016207224957220934,-0.0662111337852465,-0.03774626465624396,-0.09206336311138874,2147,0.4166666666666667,0.9035929694704743,-4.479869121945587,-4.479869121945587,0.14528899445764054,279.8630204964725,-226.69099968048673
FTSE250,structure_long,115,-0.2857824336583059,-0.03301937509271624,-0.8569433776592944,-0.6842028655993976,-0.2931517355855069,2330,0.30434782608695654,0.47939552528524837,-24.85064640507007,-24.85064640507007,0.30482977038796516,251.95721492956574,-149.89135015634494
FTSE250,momentum_long,126,-0.0637238095309638,-0.006547309339580143,-0.13960971461844468,-0.13904805744171408,-0.12662938875132357,2040,0.3888888888888889,0.8862531040216264,-5.057445200870143,-5.057445200870143,0.4643705463182898,254.3304346683075,-177.7586569576973
FTSE250,confidence_long,74,-0.07383695211256691,-0.007623074366651328,-0.22819220925502934,-0.18217199452257077,-0.12454751290274724,2482,0.40540540540540543,0.7801469069398801,-9.977966501698234,-9.977966501698234,0.3012668250197941,259.503858995338,-210.0376276521017
FTSE250,vol_long,56,-0.017385942305308655,-0.0017481894073572146,-0.04739939504879602,-0.029688917541370187,-0.11338349546868853,1223,0.44642857142857145,0.9322428909223534,-3.10463255451941,-3.10463255451941,0.20783847980997625,385.3300426968423,-197.30098046951258
FTSE250,risk_long,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UK100_ETF,trend_long,48,-0.07365769186308857,-0.007606914023162048,-0.31271553994762835,-0.17018773229281595,-0.11274644035759562,2052,0.375,0.6466918288668707,-15.345352471476787,-15.345352471476787,0.2015841584158416,315.50656718949284,-191.2469824301433
UK100_ETF,structure_long,114,-0.3277345393747253,-0.038856506710898575,-1.070405814000424,-0.7651493549919269,-0.3363736404610933,2492,0.34210526315789475,0.35838808692002594,-28.74864380480045,-28.74864380480045,0.3073267326732673,291.75253345304424,-209.07364576154947
UK100_ETF,momentum_long,131,-0.22820173288384626,-0.025520614353358173,-0.6603804658709637,-0.5621960781945405,-0.28076421412751473,2498,0.33587786259541985,0.5715250421061867,-17.41997960945391,-17.41997960945391,0.4530693069306931,457.7578852054393,-185.50649155149856
UK100_ETF,confidence_long,95,-0.29421795591097644,-0.03417814905953909,-0.9083909457791153,-0.5738050476060255,-0.32231975920756306,2498,0.28421052631578947,0.40510762912369996,-30.970311148523816,-30.970311148523816,0.35287128712871285,294.35703567156474,-458.57541026085755
UK100_ETF,vol_long,73,-0.12387897092252154,-0.013112191619437552,-0.43454551990354584,-0.28114825820504125,-0.1777271972249388,2171,0.3835616438356164,0.6243565909936964,-16.96972204418104,-16.96972204418104,0.2510891089108911,195.0350461358515,-243.55563157177215
UK100_ETF,risk_long,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
