symbol,arm,long_thr,exit_thr,n_trades,total_return,sharpe,max_dd,pct_time_in_market
UK100,confidence_long,65.0,55.0,104,-0.2221890762492903,-0.7182302539860941,-0.26629960128962205,0.3497029702970297
UK100,vol_long_dir,55.0,35.0,65,-0.2180599288020444,-0.8099204004875395,-0.2444155788100234,0.18653465346534653
UK100,vol_long_dir,55.0,45.0,65,-0.2180599288020444,-0.8099204004875395,-0.2444155788100234,0.18653465346534653
UK100,vol_long_inv,-35.0,-45.0,29,-0.07714876302952067,-0.48517680768434485,-0.09279723967227382,0.024554455445544555
UK100,vol_long_inv,-35.0,-55.0,29,-0.08071536049748707,-0.5012630908980207,-0.09630335955194014,0.027326732673267327
UK100,vol_long_dir,65.0,35.0,65,-0.2180599288020444,-0.8099204004875395,-0.2444155788100234,0.18653465346534653
UK100,vol_long_dir,65.0,45.0,65,-0.2180599288020444,-0.8099204004875395,-0.2444155788100234,0.18653465346534653
UK100,vol_long_inv,-45.0,-55.0,29,-0.08071536049748707,-0.5012630908980207,-0.09630335955194014,0.027326732673267327
UK100,vol_long_inv,-35.0,-65.0,29,-0.08071536049748707,-0.5012630908980207,-0.09630335955194014,0.027326732673267327
UK100,risk_long_dir,45.0,35.0,0,0.0,0.0,0.0,0.0
UK100,risk_long_dir,55.0,35.0,0,0.0,0.0,0.0,0.0
UK100,risk_long_dir,55.0,45.0,0,0.0,0.0,0.0,0.0
UK100,vol_long_inv,-45.0,-65.0,29,-0.08071536049748707,-0.5012630908980207,-0.09630335955194014,0.027326732673267327
UK100,risk_long_dir,65.0,35.0,0,0.0,0.0,0.0,0.0
UK100,risk_long_dir,65.0,45.0,0,0.0,0.0,0.0,0.0
UK100,risk_long_dir,65.0,55.0,0,0.0,0.0,0.0,0.0
UK100,vol_long_inv,-55.0,-65.0,35,-0.07579119142827329,-0.4309050953101995,-0.0925968668419137,0.04237623762376238
UK100,risk_long_inv,-35.0,-45.0,3,0.014932806300558266,0.3106339114610121,-0.016057835964697675,0.017425742574257427
UK100,risk_long_inv,-45.0,-55.0,1,-0.0027788313119626595,-0.16876409263447037,-0.00592578584601311,0.005940594059405941
UK100,risk_long_inv,-35.0,-55.0,3,0.014932806300558266,0.3106339114610121,-0.016057835964697675,0.017425742574257427
UK100,risk_long_inv,-45.0,-65.0,1,-0.0027788313119626595,-0.16876409263447037,-0.00592578584601311,0.005940594059405941
