arm,long_thr,exit_thr,symbol,window,n_trades,total_return,sharpe,max_dd
trend_long,60.0,40.0,UK100,0,14,0.0012196071017869237,0.035782301227514614,-0.0650679870186468
trend_long,60.0,30.0,UK100_ETF,3,17,-0.009724037808343522,-0.10831323078596716,-0.05689963671385134
trend_long,60.0,40.0,DAX40,0,5,0.04076262807595943,1.0165963859690619,-0.013499480688582088
trend_long,60.0,40.0,DAX40,1,9,0.015337633445938303,0.2860258598272794,-0.03956477514281831
trend_long,60.0,40.0,DAX40,2,6,0.0019392786313787713,0.06525280776917006,-0.018792659486373764
trend_long,60.0,40.0,UK100,3,17,-0.01146108209867902,-0.12753161298667384,-0.04843521797703032
trend_long,60.0,40.0,CAC40,1,6,0.003662367502578201,0.10045562336101273,-0.021861075007161612
trend_long,60.0,40.0,DAX40,3,13,0.023341163069642512,0.3138630440632794,-0.04079207310781208
trend_long,60.0,40.0,CAC40,0,7,0.014272105729393747,0.38599079398884284,-0.02905556139635923
trend_long,60.0,40.0,CAC40,2,7,-0.014960716484662573,-0.49966582588928815,-0.034674049462471546
trend_long,60.0,40.0,IBEX35,0,10,-0.023617788212052848,-0.5767786793092624,-0.035963812959526775
trend_long,60.0,40.0,IBEX35,1,10,-0.035197418954498794,-0.7583274202358526,-0.05271918179417212
trend_long,60.0,40.0,IBEX35,2,9,-0.01932964777139401,-0.4489241484404082,-0.03609005324721404
trend_long,60.0,40.0,CAC40,3,19,-0.05124345458687862,-0.5795210710419325,-0.07448459984052469
trend_long,60.0,40.0,FTSE250,1,11,-0.04185749797621097,-0.8012025840425507,-0.04462791520225551
trend_long,60.0,40.0,FTSE250,0,8,0.06526208760378549,1.432098072595132,-0.016955443338493303
trend_long,60.0,40.0,IBEX35,3,12,0.11317214177223112,1.2052888671724349,-0.018989217469928654
trend_long,60.0,40.0,FTSE250,2,7,-0.021756458343233365,-0.40061797764092355,-0.04035802277734579
trend_long,60.0,40.0,FTSE250,3,11,-0.03099655787409572,-0.4817251990773431,-0.03599046630878788
trend_long,60.0,40.0,UK100_ETF,1,14,-0.08673176831369345,-1.371943759888543,-0.09065706179050315
trend_long,60.0,40.0,UK100_ETF,0,12,0.00866305376786558,0.17529298645108107,-0.03704709530207906
trend_long,60.0,40.0,UK100_ETF,2,6,-0.004162132195414281,-0.09889826575632113,-0.02454706680851859
trend_long,60.0,50.0,UK100,1,16,-0.09790989719966514,-1.655112560795892,-0.09790989719966514
trend_long,60.0,50.0,UK100,2,9,-0.027126857405590954,-0.6372261770448739,-0.03624225950751947
trend_long,60.0,50.0,UK100,0,14,0.005591806459969373,0.11498375307264377,-0.06208603005153879
trend_long,60.0,40.0,UK100_ETF,3,17,-0.0008269052831901824,-0.00033077612910418185,-0.04842635326859179
trend_long,60.0,50.0,DAX40,0,5,0.04076262807595943,1.0165963859690619,-0.013499480688582088
