arm,long_thr,exit_thr,n_symbols,n_pos_oos_sharpe,n_pos_oos_return,n_dd_under_35pct,mean_oos_sharpe,median_oos_sharpe,mean_oos_return,mean_oos_dd,total_n_trades,robustness_score,phase
confidence_long,70.0,50.0,6,0,0,6,-0.8567001906132742,-0.9536027862674141,-0.06493238264446911,-0.08838807359212923,580,0.2,phase1_walkforward
momentum_long,60.0,40.0,6,0,0,6,-0.5589961534578612,-0.5912996290261834,-0.04811470938093948,-0.08204117936926038,802,0.2,phase1_walkforward
momentum_long,60.0,30.0,6,0,0,6,-0.6643869343582515,-0.6893058891800206,-0.058231122698221706,-0.08895162741444333,781,0.2,phase1_walkforward
momentum_long,50.0,30.0,6,0,0,6,-0.428863482450073,-0.4878969564684784,-0.038669134683723426,-0.0782143311220551,840,0.2,phase1_walkforward
momentum_long,70.0,30.0,6,0,0,6,-0.7666118295101091,-0.7054734307018307,-0.05954635829519081,-0.09132075338356115,700,0.2,phase1_walkforward
confidence_long,70.0,40.0,6,0,0,6,-0.8755910460763512,-0.9789608374233462,-0.06682182181550907,-0.08931400728741591,575,0.2,phase1_walkforward
structure_long,70.0,50.0,6,0,0,6,0.0,0.0,0.0,0.0,0,0.2,phase1_walkforward
vol_long,60.0,30.0,6,0,0,6,-0.42789079897566173,-0.38963984416680814,-0.0285103721058504,-0.06435037820356466,387,0.2,phase1_walkforward
vol_long,60.0,40.0,6,0,0,6,-0.42789079897566173,-0.38963984416680814,-0.0285103721058504,-0.06435037820356466,387,0.2,phase1_walkforward
vol_long,60.0,50.0,6,0,0,6,-0.39403306165467633,-0.341028837018136,-0.026365688113854386,-0.06246217149945704,391,0.2,phase1_walkforward
confidence_long,70.0,30.0,6,0,0,6,-0.8837291763111939,-0.987443308900455,-0.06758803231875649,-0.08990942506947679,575,0.2,phase1_walkforward
structure_long,70.0,40.0,6,0,0,6,0.0,0.0,0.0,0.0,0,0.2,phase1_walkforward
momentum_long,70.0,40.0,6,0,0,6,-0.6476422572181938,-0.5627604177005998,-0.049421509618661784,-0.08189584774915681,712,0.2,phase1_walkforward
risk_long,70.0,30.0,6,0,0,6,0.0,0.0,0.0,0.0,0,0.2,phase1_walkforward
momentum_long,70.0,50.0,6,0,0,6,-0.5372369721914274,-0.39865652285069525,-0.038915561021576596,-0.07504587832010719,745,0.2,phase1_walkforward
risk_long,50.0,30.0,6,0,0,6,0.0,0.0,0.0,0.0,0,0.2,phase1_walkforward
risk_long,50.0,40.0,6,0,0,6,0.0,0.0,0.0,0.0,0,0.2,phase1_walkforward
risk_long,60.0,30.0,6,0,0,6,0.0,0.0,0.0,0.0,0,0.2,phase1_walkforward
risk_long,60.0,40.0,6,0,0,6,0.0,0.0,0.0,0.0,0,0.2,phase1_walkforward
risk_long,60.0,50.0,6,0,0,6,0.0,0.0,0.0,0.0,0,0.2,phase1_walkforward
risk_long,70.0,40.0,6,0,0,6,0.0,0.0,0.0,0.0,0,0.2,phase1_walkforward
structure_long,70.0,30.0,6,0,0,6,0.0,0.0,0.0,0.0,0,0.2,phase1_walkforward
risk_long,70.0,50.0,6,0,0,6,0.0,0.0,0.0,0.0,0,0.2,phase1_walkforward
momentum_long,60.0,50.0,6,0,0,6,-0.43479647423323026,-0.3930090298636387,-0.03590288154389923,-0.07361607282879372,889,0.2,phase1_walkforward
structure_long,50.0,40.0,6,0,0,6,-0.9163786620557612,-0.9106165343959398,-0.07555819129017038,-0.09512711797070321,683,0.2,phase1_walkforward
structure_long,60.0,30.0,6,0,0,6,-0.9038599730904034,-0.9215214196547449,-0.07826284271470012,-0.10211587551104177,662,0.2,phase1_walkforward
structure_long,60.0,40.0,6,0,0,6,-0.9163786620557612,-0.9106165343959398,-0.07555819129017038,-0.09512711797070321,683,0.2,phase1_walkforward
structure_long,60.0,50.0,6,0,0,6,-0.9163786620557612,-0.9106165343959398,-0.07555819129017038,-0.09512711797070321,683,0.2,phase1_walkforward
structure_long,50.0,30.0,6,0,0,6,-0.9038599730904034,-0.9215214196547449,-0.07826284271470012,-0.10211587551104177,662,0.2,phase1_walkforward
