name,require_risk_filter,T_enter,C_enter,R_max,symbol,window,n_trades,total_return,sharpe,max_dd
composite_T50_C60_noR,False,50.0,60.0,99.0,IBEX35,2,31,-0.07476948989221022,-1.0414397278761742,-0.09722751848731914
composite_T50_C60_noR,False,50.0,60.0,99.0,CAC40,3,77,-0.18407264552492109,-1.1756174432901634,-0.19613927960621114
composite_T50_C60_noR,False,50.0,60.0,99.0,FTSE250,0,48,-0.019473380533791662,-0.1776916589336801,-0.061254580172992124
composite_T50_C60_noR,False,50.0,60.0,99.0,FTSE250,1,34,-0.09663310670649428,-1.1030383326467352,-0.1031180949616799
composite_T50_C60_noR,False,50.0,60.0,99.0,FTSE250,2,32,-0.008763162323856655,-0.0749438782623865,-0.05559799976336799
composite_T50_C60_noR,False,50.0,60.0,99.0,UK100_ETF,1,36,-0.14484207147298112,-1.8431888355829824,-0.14934793450034323
composite_T50_C60_noR,False,50.0,60.0,99.0,IBEX35,3,93,-0.015487096083719898,-0.046231593006016,-0.08936926768841869
composite_T50_C60_noR,False,50.0,60.0,99.0,UK100_ETF,0,49,-0.13237583061155733,-1.4957978000588417,-0.13848976104526933
composite_T50_C60_Rmax5,True,50.0,60.0,5.0,UK100,0,18,-0.06693681150006725,-0.9578751125435132,-0.10029702459048173
composite_T50_C60_noR,False,50.0,60.0,99.0,FTSE250,3,78,-0.12274367117040041,-0.7292877303577826,-0.12883173632356215
composite_T50_C60_Rmax5,True,50.0,60.0,5.0,UK100,1,11,-0.048461487083347854,-0.9111163765535368,-0.05656355675248237
composite_T50_C60_noR,False,50.0,60.0,99.0,UK100_ETF,2,40,-0.0779241921703071,-0.891034647464244,-0.10093898821134817
composite_T50_C60_Rmax5,True,50.0,60.0,5.0,UK100,2,17,-0.08363133697603842,-1.0961831690712087,-0.08869107395108511
composite_T50_C60_Rmax5,True,50.0,60.0,5.0,DAX40,0,14,0.01991560052313268,0.3111766344441436,-0.025862096852449667
composite_T50_C60_Rmax5,True,50.0,60.0,5.0,DAX40,1,10,-0.02877038260321063,-0.5381584206308274,-0.04378833401505089
composite_T50_C60_Rmax5,True,50.0,60.0,5.0,DAX40,2,25,-0.15113084334378268,-1.7880924247500272,-0.1690294269042638
composite_T50_C60_Rmax5,True,50.0,60.0,5.0,UK100,3,38,-0.069024828546557,-0.45309920130022574,-0.08592152663018926
composite_T50_C60_noR,False,50.0,60.0,99.0,UK100_ETF,3,96,-0.1286047398846908,-0.8183130914449832,-0.1530261370629894
composite_T50_C60_Rmax5,True,50.0,60.0,5.0,CAC40,0,14,-0.053741550769247026,-0.9147724124704227,-0.06268998512353141
composite_T50_C60_Rmax5,True,50.0,60.0,5.0,CAC40,1,13,-0.06970451971189473,-1.003230151115413,-0.07813220711966062
composite_T50_C60_Rmax5,True,50.0,60.0,5.0,CAC40,2,19,-0.08468985514338123,-1.1928783523376358,-0.08468985514338123
composite_T50_C60_Rmax5,True,50.0,60.0,5.0,DAX40,3,39,-0.028460942307992232,-0.1805117396045105,-0.08607717135521087
composite_T50_C60_Rmax5,True,50.0,60.0,5.0,IBEX35,0,13,-0.023590886081818696,-0.3568882596947599,-0.06087704803721472
composite_T50_C60_Rmax5,True,50.0,60.0,5.0,IBEX35,1,12,-0.08710505891780906,-1.7111056911399853,-0.08989533824676443
composite_T50_C60_Rmax5,True,50.0,60.0,5.0,IBEX35,2,15,-0.042339746726146266,-0.6524456977327419,-0.05863751049131205
composite_T50_C60_Rmax5,True,50.0,60.0,5.0,CAC40,3,26,-0.05515302779365305,-0.42770962912768,-0.058276407967400634
composite_T50_C60_Rmax5,True,50.0,60.0,5.0,FTSE250,0,16,-0.018794969226536673,-0.2663971611163854,-0.08019651771673708
composite_T50_C60_Rmax5,True,50.0,60.0,5.0,FTSE250,1,17,-0.09621669259562837,-1.571733897221297,-0.10376113199698944
composite_T50_C60_Rmax5,True,50.0,60.0,5.0,FTSE250,2,18,-0.08757440704831954,-1.201212355035387,-0.08757440704831954
composite_T50_C60_Rmax5,True,50.0,60.0,5.0,IBEX35,3,37,0.05247054589288269,0.3588111186060557,-0.04700735560536229
composite_T50_C60_Rmax5,True,50.0,60.0,5.0,UK100_ETF,0,17,-0.10522638695191622,-1.504932560214626,-0.1223657393180807
composite_T50_C60_Rmax5,True,50.0,60.0,5.0,UK100_ETF,1,14,-0.06888707520551252,-1.1531811257033386,-0.06888707520551252
composite_T50_C60_Rmax5,True,50.0,60.0,5.0,FTSE250,3,37,-0.11814002147373792,-0.9319533720132785,-0.1242885504870972
composite_T50_C60_Rmax5,True,50.0,60.0,5.0,UK100_ETF,2,17,-0.102274112127401,-1.4178860237655595,-0.11390158547700668
composite_T50_C60_Rmax15,True,50.0,60.0,15.0,UK100,1,26,-0.10868645117881437,-1.3965423864386253,-0.10868645117881437
composite_T50_C60_Rmax15,True,50.0,60.0,15.0,UK100,0,42,-0.11910934919138982,-1.2898955224438224,-0.12873568607828312
composite_T50_C60_Rmax5,True,50.0,60.0,5.0,UK100_ETF,3,39,-0.049510099647555594,-0.36951337622560965,-0.06779280625620188
composite_T50_C60_Rmax15,True,50.0,60.0,15.0,UK100,2,31,-0.11206275168810387,-1.2102679716700548,-0.12911887487816853
composite_T50_C60_Rmax15,True,50.0,60.0,15.0,DAX40,1,24,-0.048060155120517645,-0.5437341215759677,-0.0763080745332243
